cod_prod,nom_prod,concent,nom_form_farm,presentac,fraccion,num_reg_san,nom_titular,nom_fabricante,nom_ifa,nom_rubro,situacion
61147.0,ABACAVIR + LAMIVUDINA,600 mg + 300 mg,Tableta Recubierta,Caja Frasco x 30 Tabletas Recubiertas,1.0,EE08100,SEVEN PHARMA S.A.C.,HETERO LABS LIMITED,ABACAVIR SULFATO + LAMIVUDINA,ESPECIALIDAD FARMACEUTICA,ACT
53608.0,ABACAVIR SULFATO,300 mg,Tableta,Caja Frasco x 60 tabletas,1.0,EE01414,PHARMARIS PERU S.A.C.,MYLAN LABORATORIES LIMITED - INDIA,ABACAVIR SULFATO,ESPECIALIDAD FARMACEUTICA,ACT
53609.0,ABACAVIR SULFATO Y LAMIVUDINA,600 mg + 300 mg,Tableta Recubierta,Caja Frasco x 30 Tabletas Recubiertas,1.0,EE02451,PHARMARIS PERU S.A.C.,MYLAN LABORATORIES LIMITED - INDIA,ABACAVIR SULFATO + LAMIVUDINA,ESPECIALIDAD FARMACEUTICA,ACT
48350.0,ABACAVIR SULFATO Y LAMIVUDINA,600 mg + 300 mg,Tableta Recubierta,Caja Frasco Tableta Recubierta,30.0,EE02451,PHARMARIS PERU S.A.C.,MYLAN LABORATORIES LIMITED - INDIA,ABACAVIR SULFATO + LAMIVUDINA,ESPECIALIDAD FARMACEUTICA,ACT
61102.0,ABATIXENT,5 mg,Tableta Recubierta,Caja Envase Blíster Tableta Recubierta,100.0,EE11326,H REPS S.A.C.,SANDOZ PRIVATE LIMITED,APIXABAN,ESPECIALIDAD FARMACEUTICA,ACT
61103.0,ABATIXENT,5 mg,Tableta Recubierta,Caja Envase Blíster Tableta Recubierta,10.0,EE11326,H REPS S.A.C.,SANDOZ PRIVATE LIMITED,APIXABAN,ESPECIALIDAD FARMACEUTICA,ACT
61104.0,ABATIXENT,2.5 mg,Tableta Recubierta,Caja Envase Blíster Tableta Recubierta,100.0,EE11327,H REPS S.A.C.,SANDOZ PRIVATE LIMITED,APIXABAN,ESPECIALIDAD FARMACEUTICA,ACT
60790.0,ABATIXENT,2.5 mg,Tableta Recubierta,Caja Envase Blíster Tableta Recubierta,10.0,EE11327,H REPS S.A.C.,SANDOZ PRIVATE LIMITED,APIXABAN,ESPECIALIDAD FARMACEUTICA,ACT
60791.0,ABATIXENT,2.5 mg,Tableta Recubierta,Caja Envase Blíster Tableta Recubierta,20.0,EE11327,H REPS S.A.C.,SANDOZ PRIVATE LIMITED,APIXABAN,ESPECIALIDAD FARMACEUTICA,ACT
60792.0,ABATIXENT,2.5 mg,Tableta Recubierta,Caja Envase Blíster Tableta Recubierta,30.0,EE11327,H REPS S.A.C.,SANDOZ PRIVATE LIMITED,APIXABAN,ESPECIALIDAD FARMACEUTICA,ACT
59064.0,ABATIXENT,5 mg,Tableta Recubierta,Caja Envase Blíster Tableta Recubierta,30.0,EE11326,H REPS S.A.C.,SANDOZ PRIVATE LIMITED,APIXABAN,ESPECIALIDAD FARMACEUTICA,ACT
59065.0,ABATIXENT,2.5 mg,Tableta Recubierta,Caja Envase Blíster Tableta Recubierta,60.0,EE11327,H REPS S.A.C.,SANDOZ PRIVATE LIMITED,APIXABAN,ESPECIALIDAD FARMACEUTICA,ACT
59307.0,ABATIXENT,5 mg,Tableta Recubierta,Caja Envase Blíster Tableta Recubierta,60.0,EE11326,H REPS S.A.C.,SANDOZ PRIVATE LIMITED,APIXABAN,ESPECIALIDAD FARMACEUTICA,ACT
58284.0,AB-BRONCOL 1000 NF,1000 mg,Polvo y Disolvente para Suspensión Inyectable,Caja Vial + Ampolla solvente x 5 mL,1.0,EN07674,MEDIFARMA S.A.,MEDIFARMA S.A.,AMPICILINA BENZATINICA + AMPICILINA SODICA,ESPECIALIDAD FARMACEUTICA,ACT
59358.0,AB-BRONCOL 250 NF,250 mg,Polvo y Disolvente para Suspensión Inyectable,Caja Vial + Ampolla Solvente x 3 mL,1.0,EN07639,MEDIFARMA S.A.,MEDIFARMA S.A.,AMPICILINA BENZATINICA + AMPICILINA SODICA,ESPECIALIDAD FARMACEUTICA,ACT
59359.0,AB-BRONCOL 500 NF,500 mg,Polvo y Disolvente para Suspensión Inyectable,Caja Vial + Ampolla solvente x 4 mL,1.0,EN07660,MEDIFARMA S.A.,MEDIFARMA S.A.,AMPICILINA BENZATINICA + AMPICILINA SODICA,ESPECIALIDAD FARMACEUTICA,ACT
57689.0,AB-BRONCOL NF 1200,1200 mg,Solución Inyectable,Caja Vial + Ampolla solvente x 5 mL,1.0,EN07674,MEDIFARMA S.A.,MEDIFARMA S.A.,AMPICILINA BENZATINICA + AMPICILINA SODICA,ESPECIALIDAD FARMACEUTICA,ACT
58195.0,ABEVMY 100,100 mg/ 4 mL,Concentrado para Solución para Perfusión,Caja vial x 4 mL,1.0,BE01262,PHARMARIS PERU S.A.C.,BIOCON BIOLOGICS INDIA LIMITED,BEVACIZUMAB,PRODUCTO DE ORIGEN BIOLOGICO,ACT
